PART.;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PFL;3;1;4;2;20;1;1;1;2;6;8;1;1;3;3;8;5;6;9;3;2;0;1;3;0;8;3
PSDB;0;2;1;3;6;12;1;3;2;3;14;2;3;4;1;1;1;5;11;0;2;2;2;1;1;15;1
PMDB;1;1;0;1;3;5;1;1;8;3;9;1;2;4;5;3;3;4;2;4;1;1;7;4;2;5;2
PPB;1;0;1;0;1;1;2;1;1;0;7;1;0;1;1;2;0;5;6;1;0;4;5;4;1;12;2
PT;2;0;0;0;5;1;2;1;1;0;7;2;0;3;1;1;1;3;4;0;0;0;8;2;1;14;0
PTB;0;1;0;1;1;0;0;3;0;0;2;1;1;1;1;1;0;6;2;0;1;1;3;0;0;5;0
PDT;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;7;0;2;0;4;2;0;4;0
PSB;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;8;0;0;2;0;0;0;1;0;1;2;0
PL;0;0;1;0;1;0;0;0;2;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
PC DO B;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PPS;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
PSD;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PMN;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
PSC;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PRONA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
PSL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PST;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
