PARTIDO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PT;3;1;0;1;8;4;1;2;1;1;9;2;1;2;1;0;2;4;5;0;0;0;7;2;1;10;0
PMDB;2;1;1;1;1;3;1;1;2;2;6;2;1;3;3;1;1;4;8;1;3;1;5;5;1;2;3
PSDB;1;1;1;0;3;1;1;1;6;1;7;1;1;1;1;3;0;3;1;1;1;1;1;2;0;14;0
PP;0;1;1;0;4;0;0;1;1;1;5;0;1;0;1;1;1;4;3;1;0;0;6;2;0;3;1
PSD;0;0;2;0;4;0;1;0;2;0;3;0;0;3;1;1;1;1;6;1;0;0;1;3;1;4;1
PSB;1;0;0;1;1;0;0;1;0;1;3;1;2;0;0;8;3;2;1;0;0;1;2;0;1;4;1
PR;0;1;1;1;2;2;1;0;1;0;3;0;0;1;1;2;0;2;6;1;1;1;0;1;0;6;0
PTB;0;0;0;1;2;1;0;0;1;1;1;0;0;1;1;4;2;1;2;0;1;0;3;0;1;2;0
PRB;1;0;0;1;2;1;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;1;0;1;8;1
DEM;0;0;1;0;4;1;1;0;0;0;2;1;0;1;1;1;0;0;1;1;0;0;1;0;0;4;1
PDT;0;1;0;1;1;1;0;1;1;2;2;1;0;0;1;1;0;0;1;0;1;1;3;0;0;1;0
SD;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;2;0;1;0;0;0;1;1;0
PSC;0;0;0;1;2;0;0;0;0;0;1;0;1;1;0;1;0;2;0;0;0;0;0;0;1;3;0
PROS;0;1;0;0;0;3;1;1;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0
PPS;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0
PC do B;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0
PV;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
PSOL;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;1;0
PHS;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
PTN;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
PRP;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PMN;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
PEN;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSDC;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PTC;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT do B;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSL;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRTB;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
