Partido;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
PT;0;1;1;0;7;3;1;1;1;1;8;1;1;2;1;2;2;3;1;1;0;0;5;1;1;8;1
PSL;0;0;1;0;1;1;0;1;2;0;6;2;1;0;1;1;0;3;12;1;1;1;3;4;0;10;0
PP;0;1;1;1;4;1;1;1;2;1;2;0;1;0;1;2;2;2;2;1;1;1;4;1;1;4;0
PSD;0;1;1;0;5;1;0;0;1;1;3;1;0;3;0;1;1;4;3;1;1;1;1;2;1;2;0
MDB;2;1;0;0;0;1;0;0;0;2;4;0;2;2;0;1;1;2;3;1;1;0;4;3;1;2;1
PR;0;1;1;1;2;1;1;1;1;2;1;0;0;1;1;1;1;3;2;1;0;1;1;0;1;7;1
PSB;0;1;0;1;2;1;0;2;1;1;3;0;0;1;1;5;1;2;1;1;1;0;2;1;0;4;0
PRB;1;1;2;1;2;0;1;1;1;1;2;0;0;1;1;2;0;2;2;0;0;1;1;1;0;6;0
PSDB;1;1;0;1;1;1;0;0;1;0;5;2;0;2;3;0;0;0;0;0;1;1;2;1;0;6;0
DEM;1;0;0;0;4;0;1;1;2;1;1;1;0;2;1;1;0;1;4;0;0;0;1;0;0;5;2
PDT;1;0;0;0;2;6;0;1;1;1;2;1;0;0;1;2;1;1;2;0;1;0;3;0;1;1;0
SOLIDARIEDADE;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;2
PODE;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;3;0
PSOL;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;4;0;0;0;1;0;0;3;0
PTB;0;1;0;0;0;1;0;0;0;1;0;0;1;2;1;0;0;1;0;0;0;0;2;0;0;0;0
PCdoB;1;0;0;1;2;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
NOVO;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;0;3;0
PROS;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
PSC;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1
PPS;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;2;0
AVANTE;0;0;0;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PHS;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
PATRI;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PV;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
PRP;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
PMN;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PTC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
REDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
PPL;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
