Federação/Partido;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
AVANTE;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
MDB;0;2;0;2;1;1;1;0;2;1;2;0;2;9;0;1;0;1;2;0;2;2;3;3;0;5;0
NOVO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
PATRIOTA;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PDT;0;0;0;3;2;5;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
PL;0;0;1;3;3;5;2;1;4;4;11;2;4;3;2;4;0;3;11;4;2;0;4;6;1;17;2
PODE;0;0;0;0;1;0;0;2;0;1;2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;3;0
PP;3;4;0;0;4;1;0;2;2;2;3;1;0;0;2;4;2;4;3;0;0;0;3;0;1;4;2
PROS;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
PSB;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;5;0;1;1;0;0;0;1;0;0;2;0
PSC;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0
PSD;0;0;2;0;6;3;0;0;1;1;4;0;0;2;0;0;3;7;4;0;0;1;1;2;2;3;0
Federação PSDB - Cidadania;0;0;1;0;1;0;0;0;1;0;2;3;0;0;0;0;0;1;0;0;0;0;3;1;0;5;0
Federação PSOL - REDE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;1;0;0;6;0
Federação PT - PCdoB - PV;0;2;0;0;10;3;2;2;2;2;10;2;0;2;1;3;5;6;6;2;0;0;7;2;1;11;0
PTB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Republicanos;2;0;2;0;3;0;3;2;1;1;2;0;0;0;3;2;0;1;3;0;0;3;3;0;1;5;3
Solidariedade;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
UNIÃO;3;1;2;0;6;4;0;0;2;2;3;0;2;1;1;3;0;4;6;2;4;2;1;1;2;6;1
